"","Inbred","Slope_PHK76","Slope_PHP02","Slope_PHZ51","Intercept_PHK76","Intercept_PHP02","Intercept_PHZ51"
"1","W10004_0007",-0.082053934318846,1.5068223021142,-6.68113815305014,0.938746061971798,-1.02217588675497,6.37935972577079
"2","W10004_0011",0.164164630122219,0.0839858802030942,-0.946518145493742,-1.2816196116124,-0.966020615054105,-0.531612388814711
"3","W10004_0014",0.642672213924254,1.10759097143104,1.39418212245484,0.992875039586968,1.28839930226522,-0.349940547772644
"4","W10004_0018",1.85851903829212,-0.86289740711028,2.99454559744643,-2.04861700764963,-1.20356360624497,-3.59764219881913
"5","W10004_0026",0.884033702312844,-1.6674216485994,-4.13666915425879,-0.351779046085613,2.5847750661985,3.62415089373773
"6","W10004_0032",1.4017852363374,-0.0192357870747245,0.812566034646558,-0.985771477417638,-0.244724006703511,-0.50649124430072
"7","W10004_0038",0.639821179359136,1.74703152360766,-1.60803035243085,-0.847797927590498,-1.54914001250413,1.00793728188569
"8","W10004_0041",0.0772883238113621,-0.405204090556835,-1.20259126417141,-0.71167532954216,0.924093881706255,1.47203916707549
"9","W10004_0045",-1.39503063502706,1.55042377185613,1.63310101016237,2.00027379630901,-0.173175115656168,-1.87922493344814
"10","W10004_0046",-0.571996553212903,0.778561914697488,2.19456647850495,-0.44395668868109,-0.472382057372329,-1.66689680602126
"11","W10004_0047",-0.477484862879638,-1.00078365505492,-0.398561615463837,0.375126169999373,0.861909867501174,-0.309290942875064
"12","W10004_0053",-0.670182775904852,-0.655632913228783,3.35232151533225,1.59652749584099,1.5648768885765,-2.39838352313869
"13","W10004_0055",-1.53765225449161,1.66594415368406,0.900726801479917,1.49436125937355,-1.75058349146008,-1.68253452834167
"14","W10004_0061",0.333758309429595,0.523018510724738,1.47086703871917,-0.204440120253355,-1.68938088216253,-0.594145105522028
"15","W10004_0062",0.96745147005089,-0.540884027781155,-2.97522198838144,-0.953625530195835,-1.57107725876482,2.51431102652915
"16","W10004_0064",-0.333143601519303,-0.892632191802533,1.04494615876683,-0.553919020089566,0.775900026474831,-1.64218145233714
"17","W10004_0068",-0.518604878714281,-0.571368426499398,-1.14017361742274,0.678334501825608,1.63239032351923,1.53678597408426
"18","W10004_0069",-0.0397390542285989,0.69885442922084,-1.08743917200435,0.662107659685549,-0.739737899144206,0.901190062757886
"19","W10004_0072",0.00346914983447592,-0.425841264054403,1.39228800336663,0.963884140722587,1.25623724478539,-0.289512195933762
"20","W10004_0073",1.14205699407585,0.333788102708289,4.58646936638424,0.057617201495598,0.626959908465539,-4.0481146893707
"21","W10004_0076",-0.641752769313861,1.08303985057306,1.57971099379433,1.2021291066662,-1.04090346410978,-1.62634960177412
"22","W10004_0080",-0.238063129402573,-0.435217909910988,1.17613024865013,1.14337529057015,1.43695630123215,-0.120223451435709
"23","W10004_0092",-0.0714151506633153,-0.233533104033777,3.15316508176605,0.174838183561304,-0.130872874412522,-2.56731659498597
"24","W10004_0093",-0.387247704037863,0.980264239807345,1.44157540679296,0.112309856709849,-1.49187517091417,-2.0952840869197
"25","W10004_0095",-1.6153250932316,1.80145747451148,-4.29746094880483,-0.708561739602331,-3.97152816614063,1.75924873050919
"26","W10004_0097",0.687379952847003,-0.670250579345199,0.759850953015472,-0.979682159693492,1.06465761839274,-0.955241459112132
"27","W10004_0103",0.764552215976918,0.624298223240037,1.58115829851426,-0.17702097318367,-0.0882361552443244,-0.855553353653602
"28","W10004_0112",1.9423955880114,-0.318300319483229,-0.105782936738969,-3.43691243499257,0.0238911199754588,-1.12089942172226
