,Inbred,PHK76_DEH1.2020,PHK76_DEH1.2021,PHK76_IAH1.2021,PHK76_IAH2.2021,PHK76_IAH3.2021,PHK76_IAH4.2021,PHK76_ILH1.2021,PHK76_INH1.2020,PHK76_NCH1.2021,PHK76_WIH2.2020,PHK76_WIH2.2021,PHK76.Yield,PHP02_DEH1.2020,PHP02_DEH1.2021,PHP02_IAH2.2021,PHP02_IAH3.2021,PHP02_IAH4.2021,PHP02_MIH1.2021,PHP02_MNH1.2020,PHP02_MNH1.2021,PHP02_OHH1.2020,PHP02_WIH1.2020,PHP02_WIH1.2021,PHP02_WIH2.2020,PHP02_WIH2.2021,PHP02_WIH3.2021,PHP02.Yield,PHZ51_DEH1.2020,PHZ51_DEH1.2021,PHZ51_GAH1.2020,PHZ51_GAH1.2021,PHZ51_IAH1.2021,PHZ51_IAH2.2021,PHZ51_IAH3.2021,PHZ51_IAH4.2021,PHZ51_NCH1.2021,PHZ51_NEH1.2020,PHZ51_NEH1.2021,PHZ51_NEH2.2020,PHZ51_NEH3.2020,PHZ51_SCH1.2021,PHZ51_TXH1.2020,PHZ51_TXH2.2020,PHZ51_TXH2.2021,PHZ51_TXH3.2021,PHZ51_WIH2.2020,PHZ51_WIH2.2021,PHZ51.Yield
198,W10004_0982,9.095471485,9.739772556,8.411444786,10.39916059,10.33001109,10.00224238,10.78079125,11.88889117,8.040153085,10.32273436,11.43569991,10.04057933,9.943204096,11.83090747,12.40184411,11.73978843,10.95339692,13.13757247,11.96333381,11.64047127,14.05854783,12.65006687,13.06310729,12.38961161,13.1222681,11.56225439,12.17545534,8.397376445,10.38170987,7.644574035,9.651083163,8.778311114,10.39590554,10.54331185,9.816909166,7.034234302,7.669703576,9.332357478,8.951692865,10.61927039,6.146482271,7.607755631,7.046478609,7.99259552,3.454980817,9.146177218,10.104335,8.535762243
199,W10004_0984,7.05481422,7.908921904,8.218170761,8.966852694,7.514567094,8.909529569,7.415821197,10.38281442,6.497601072,8.356719989,8.899449761,8.193205698,9.038134352,11.40271243,11.49559293,10.78723225,10.78225187,12.5200996,10.83901984,10.68147653,13.58878043,12.02931278,12.31269115,12.74264456,12.41962504,9.642906691,11.4487486,6.855404099,8.68366764,6.391720817,8.639011104,8.460656962,10.05070121,9.038180379,9.129134629,7.843837172,5.583174071,7.860775326,10.13775714,9.609651045,6.388492224,8.9632778,6.535014214,8.329152853,3.065374865,10.65143615,10.19395563,8.120518766
200,W10004_1000,8.214542455,11.10533646,9.368473001,10.69800381,10.7086326,10.58142761,9.815694497,11.48521296,8.298758987,11.12782139,12.01921997,10.31119307,10.80893221,13.58397941,13.22458684,13.31982298,12.07504926,12.7101656,12.75989311,13.16639622,15.62643937,13.73434751,14.75272491,14.67468111,14.28451021,13.08195992,13.4145349,8.697599487,12.28025464,8.509160112,10.74346678,10.01405641,12.29003664,11.03522883,10.96608988,8.894216118,9.241511392,11.22730624,11.12562941,12.04464126,7.453717422,10.10364905,7.34490982,9.611183264,5.647794635,12.97851901,13.48413081,10.18465506
201,W10004_1002,9.851699475,12.37526078,10.03361545,11.74911158,11.89086939,11.34274044,11.82755945,14.46411334,8.512794443,12.51372656,12.43079109,11.54475291,10.16308308,12.67999004,12.07531808,12.38466968,12.28033527,12.89422283,12.43877159,12.20182798,14.66668233,12.55216519,13.29692784,13.44984906,12.3874034,10.99828308,12.46210925,8.040957855,11.94375709,8.397606892,10.06020092,9.382601305,11.00110124,9.792487212,9.982558259,7.874279828,9.737731923,10.41548931,9.410957133,10.00112246,7.103473411,9.513152246,7.637501748,8.495665116,5.107125649,11.47242562,11.59176632,9.348098077
202,W10004_1004,7.509187628,10.2184127,6.810167511,9.865397592,10.73646499,9.634398432,10.34518173,10.70296701,7.916389333,10.15221468,11.33875293,9.566321322,8.620637798,11.65567644,11.35617249,11.18736006,10.48953457,11.36587446,10.76534939,10.29030348,13.14231318,11.40468549,11.12785698,11.87516574,11.55720264,10.08883147,11.06621173,7.375125188,9.675780148,5.953452865,8.018247595,7.420643449,10.07542653,9.598206184,8.772791899,7.094797467,6.787489913,7.196177139,9.947410405,10.59790708,6.25665706,7.46186842,6.184305169,8.186530411,3.52248776,11.34583817,11.30059048,8.138586666
203,W10004_1011,9.94816782,12.57130971,10.26805865,11.9161121,13.07665894,11.73703442,12.8046177,13.51562174,9.131272763,13.50054755,13.55714248,12.00241308,10.72234712,12.90198482,13.31811945,12.74793521,12.60732172,14.26173561,11.90316603,12.02063148,15.01462464,11.86078962,14.1021124,11.65275034,13.43766681,12.05708455,12.75773356,8.511170956,10.87214722,7.519047738,10.25905527,9.669817684,10.98327736,10.9601356,10.43425571,7.156982523,9.332701674,11.14317643,10.21634755,10.86739353,6.715872523,8.183668935,7.876933838,9.279660998,3.973455049,12.59631665,11.93166191,9.424153956
204,W10004_1015,10.36647757,12.86546328,10.28401748,11.95909385,12.75410385,10.781312,12.75792329,13.30272021,9.391865196,11.42887827,12.84661718,11.70349747,10.45383467,12.76571372,12.40303964,12.37264333,11.58192995,13.55307756,12.15421418,11.68918566,14.81688706,12.69945044,14.16326543,12.4405924,13.31497827,12.34749115,12.62545025,9.95341628,12.04194343,7.917098517,10.20511725,9.814134434,11.93646486,11.47350456,11.13467024,9.019258804,9.272953443,11.37905062,10.24447044,11.58623706,7.128469536,9.849620292,7.531124777,9.407808848,5.194904938,13.00086185,13.51481445,10.08029623
205,W10004_1018,10.31747114,12.16000793,9.825879994,11.94882543,11.45284189,10.92791901,12.28193276,12.1357272,7.931028983,10.77721587,13.05554615,11.16494512,9.407907844,12.71910425,11.39385555,11.89101292,11.29368155,13.05223485,10.00980445,10.5173713,13.34984034,12.71859623,13.82342562,11.64831417,11.69991461,11.12397717,11.76064578,8.150206305,12.53969929,7.913248808,11.06561436,9.873640536,11.38675126,12.07924299,10.6148792,9.306259623,6.972984232,12.07383502,10.72698592,11.9004155,6.735370907,9.697149359,9.239096081,9.411794554,4.402568704,10.83284763,11.66732671,9.82949585
206,W10004_1032,8.442438802,9.793155274,8.395012757,10.80906985,10.80085729,10.22555849,10.87184459,11.53393169,7.307971459,12.23292719,11.08062775,10.13576319,8.855093612,10.81393581,10.75947227,9.480125447,10.45635009,12.27478397,11.03621743,10.83231857,12.64672116,12.57380451,13.0357206,10.76246217,13.1222681,10.33339259,11.21304759,7.48755727,9.249244519,8.070129284,9.434502892,7.867777688,10.07945657,9.24546351,10.12499356,8.244373211,8.73921953,8.957910403,9.45263191,9.358438537,6.338247046,8.441995944,8.258406421,8.666643318,3.907665097,9.992611849,10.93363022,8.64254494
207,W10004_1037,8.689406464,11.96825861,9.275395536,10.96978919,11.39662972,10.22287812,11.87499789,11.70389754,8.611334029,12.27907575,11.61630065,10.78254214,9.05313918,12.38118449,11.11348589,9.196280086,10.87790845,12.72627164,11.32100134,11.66539605,13.95229745,13.50439558,13.58216641,11.95541404,12.71109175,11.57951799,11.82996788,8.250689531,11.27358732,8.037851085,9.335024104,8.829200499,10.92159832,11.33964006,9.802974466,9.076210889,9.921027764,11.24736514,9.583984339,10.93220973,7.000470102,8.50186321,6.359992466,8.913118992,4.106074118,11.72721171,11.20334636,9.31817201
